Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     64.91     0.00   578655     0.00     0.00  MemRequest::get_operand_id()
  0.00     64.91     0.00   578655     0.00     0.00  MemRequest::set_operand_id(int)
  0.00     64.91     0.00   578655     0.00     0.00  MemRequest::get_src_hash_req()
  0.00     64.91     0.00   578655     0.00     0.00  MemResponse::get_operand_id()
  0.00     64.91     0.00   578655     0.00     0.00  MemResponse::set_operand_id(int)
  0.00     64.91     0.00   578655     0.00     0.00  MemResponse::~MemResponse()
  0.00     64.91     0.00   577424     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<unsigned long const, int> >, unsigned long const&)
  0.00     64.91     0.00   572899     0.00     0.00  MemRequest::get_payload()
  0.00     64.91     0.00   569845     0.00     0.00  HashRequest::get_b_col_id()
  0.00     64.91     0.00   504824     0.00     0.00  GlobalCounters::tick()
  0.00     64.91     0.00   423167     0.00     0.00  MemRequest::set_payload(int)
  0.00     64.91     0.00   423167     0.00     0.00  NeuraMem::send_mem_resp(MemResponse*)
  0.00     64.91     0.00   408060     0.00     0.00  HashRequest::get_table_id()
  0.00     64.91     0.00   326964     0.00     0.00  MemResponse::get_src_address()
  0.00     64.91     0.00   264636     0.00     0.00  MemResponse::get_payload()
  0.00     64.91     0.00   258723     0.00     0.00  MemRequest::~MemRequest()
  0.00     64.91     0.00   258723     0.00     0.00  GlobalCounters::get_mc_id_array()
  0.00     64.91     0.00   258405     0.00     0.00  void std::vector<MemRequest*, std::allocator<MemRequest*> >::_M_realloc_insert<MemRequest* const&>(__gnu_cxx::__normal_iterator<MemRequest**, std::vector<MemRequest*, std::allocator<MemRequest*> > >, MemRequest* const&)
  0.00     64.91     0.00   243975     0.00     0.00  HashRequest::get_count()
  0.00     64.91     0.00   218430     0.00     0.00  HashRequest::get_mult_result()
  0.00     64.91     0.00   218430     0.00     0.00  void std::deque<InstX*, std::allocator<InstX*> >::emplace_back<InstX*>(InstX*&&)
  0.00     64.91     0.00   192885     0.00     0.00  HashRequest::set_a_data_ready()
  0.00     64.91     0.00   192885     0.00     0.00  HashRequest::set_b_data_ready()
  0.00     64.91     0.00   192885     0.00     0.00  HashRequest::HashRequest(GlobalCounters*, int, int, long long, long long, long long, long long, long long)
  0.00     64.91     0.00   192885     0.00     0.00  GlobalCounters::generate_hash_req_id()
  0.00     64.91     0.00   192885     0.00     0.00  NeuraDispatcher::send_hash_req(HashRequest*, int)
  0.00     64.91     0.00   192885     0.00     0.00  void std::vector<InstX*, std::allocator<InstX*> >::emplace_back<InstX*>(InstX*&&)
  0.00     64.91     0.00   178034     0.00     0.00  void std::deque<InstX*, std::allocator<InstX*> >::_M_push_back_aux<InstX* const&>(InstX* const&)
  0.00     64.91     0.00   155488     0.00     0.00  Cache::miss_routine(MemRequest*)
  0.00     64.91     0.00   149735     0.00     0.00  HashResponse::get_table_id()
  0.00     64.91     0.00   149735     0.00     0.00  HashResponse::get_mult_result()
  0.00     64.91     0.00   149735     0.00     0.00  HashResponse::get_src_hash_req()
  0.00     64.91     0.00   149735     0.00     0.00  HashResponse::get_dest_unit_uid()
  0.00     64.91     0.00   149735     0.00     0.00  HashResponse::HashResponse(GlobalCounters*, int, int, long long, long long, int, HashRequest*)
  0.00     64.91     0.00   149735     0.00     0.00  GlobalCounters::get_writer_id_array()
  0.00     64.91     0.00   149735     0.00     0.00  GlobalCounters::generate_hash_resp_id()
  0.00     64.91     0.00   149735     0.00     0.00  Writer::send_write_request(MemRequest*)
  0.00     64.91     0.00   113212     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, std::vector<MemRequest*, std::allocator<MemRequest*> > >, std::_Select1st<std::pair<unsigned long const, std::vector<MemRequest*, std::allocator<MemRequest*> > > >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::vector<MemRequest*, std::allocator<MemRequest*> > > > >::_M_erase(std::_Rb_tree_node<std::pair<unsigned long const, std::vector<MemRequest*, std::allocator<MemRequest*> > > >*)
  0.00     64.91     0.00   110880     0.00     0.00  Conn::interval_metrics()
  0.00     64.91     0.00   108988     0.00     0.00  GlobalCounters::get_total_mcs()
  0.00     64.91     0.00   108988     0.00     0.00  Cache::get_mem_req_list[abi:cxx11](long long)
  0.00     64.91     0.00   108988     0.00     0.00  Cache::remove_from_request_table(long long)
  0.00     64.91     0.00   108988     0.00     0.00  NeuraMem::send_mem_req(MemRequest*)
  0.00     64.91     0.00   108988     0.00     0.00  CacheLine::CacheLine(int, long long, long long)
  0.00     64.91     0.00   108988     0.00     0.00  std::_Rb_tree<long long, std::pair<long long const, std::__cxx11::list<MemRequest*, std::allocator<MemRequest*> > >, std::_Select1st<std::pair<long long const, std::__cxx11::list<MemRequest*, std::allocator<MemRequest*> > > >, std::less<long long>, std::allocator<std::pair<long long const, std::__cxx11::list<MemRequest*, std::allocator<MemRequest*> > > > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<long long const, std::__cxx11::list<MemRequest*, std::allocator<MemRequest*> > > >, long long const&)
  0.00     64.91     0.00   108988     0.00     0.00  std::_Rb_tree<long long, std::pair<long long const, CacheLine*>, std::_Select1st<std::pair<long long const, CacheLine*> >, std::less<long long>, std::allocator<std::pair<long long const, CacheLine*> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<long long const, CacheLine*> >, long long const&)
  0.00     64.91     0.00    68695     0.00     0.00  HashRequest::get_dest_unit_uid()
  0.00     64.91     0.00    68695     0.00     0.00  HashRequest::set_dest_unit_uid(int)
  0.00     64.91     0.00    68695     0.00     0.00  HashPad::check_eviction_condition(long long)
