Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 77.94     40.07    40.07 3276715649     0.00     0.00  HashPad::is_hash_pad_empty()
  6.67     43.50     3.43  8077184     0.00     0.01  NeuraMem::tick()
  4.26     45.69     2.19 111061280     0.00     0.00  Conn::tick()
  2.57     47.01     1.32  4887910     0.00     0.00  packet_routing(int, GlobalCounters*, std::vector<int, std::allocator<int> >*, std::map<int, int, std::less<int>, std::allocator<std::pair<int const, int> > >*)
  2.41     48.25     1.24 16154368     0.00     0.00  NeuraRouter::tick()
  1.01     48.77     0.52 111061280     0.00     0.00  Conn::update_max_buffer_sizes()
  0.68     49.12     0.35   578655     0.00     0.00  Cache::is_data_in_cache(long long)
  0.56     49.41     0.29                             HashPad::accumulate_data(long long, int)
  0.45     49.64     0.23  6825634     0.00     0.00  NeuraMem::get_next_request()
  0.39     49.84     0.20  4738175     0.00     0.00  NeuraRouter::get_dest_port(int)
  0.27     49.98     0.14   504824     0.00     0.10  NeuraTile::tick()
  0.25     50.11     0.13                             MemoryController::WriteCallBack(unsigned long)
  0.22     50.23     0.12  4631527     0.00     0.00  NeuraCore::process_pipelines()
  0.21     50.34     0.11        1   110.00   110.00  MemoryController::load_dram_data()
  0.21     50.45     0.11 75688274     0.00     0.00  HashRequest::inc_reg_file_time()
  0.19     50.55     0.10   504824     0.00     0.00  NeuraDispatcher::tick()
  0.18     50.64     0.09 12042440     0.00     0.00  HashRequest::is_ready_to_process()
  0.17     50.72     0.09  4591894     0.00     0.00  NeuraCore::process_hash_request(HashRequest*)
  0.16     50.80     0.08   108988     0.00     0.00  MemoryController::generate_memory_response(MemRequest*)
  0.14     50.87     0.07   423167     0.00     0.00  Cache::hit_routine(MemRequest*)
  0.12     50.93     0.06  8077184     0.00     0.00  NeuraCore::tick()
  0.10     50.98     0.05  8077184     0.00     0.00  NeuraCore::rf_responder()
  0.10     51.03     0.05   504824     0.00     0.00  MemoryController::tick()
  0.08     51.07     0.04  1743451     0.00     0.00  InstX::get_type()
  0.06     51.10     0.03   423167     0.00     0.00  NeuraMem::send_mem_resp(MemResponse*)
  0.06     51.13     0.03   108988     0.00     0.00  Cache::update_cache_table(MemResponse*)
  0.06     51.16     0.03   108988     0.00     0.00  NeuraMem::send_mem_req(MemRequest*)
  0.06     51.19     0.03    68695     0.00     0.00  HashPad::is_data_in_hash_table(long long)
  0.04     51.21     0.02   578655     0.00     0.00  NeuraCore::send_mem_request(MemRequest*)
  0.04     51.23     0.02   258723     0.00     0.00  MemoryController::update_mem_req_map_and_add_transaction(MemRequest*)
  0.04     51.25     0.02      160     0.13     0.13  std::_Rb_tree<long long, std::pair<long long const, CacheLine*>, std::_Select1st<std::pair<long long const, CacheLine*> >, std::less<long long>, std::allocator<std::pair<long long const, CacheLine*> > >::_M_erase(std::_Rb_tree_node<std::pair<long long const, CacheLine*> >*)
  0.04     51.27     0.02                             Conn::get_sim_end()
  0.02     51.28     0.01  1009648     0.00     0.00  Writer::tick()
  0.02     51.29     0.01   859913     0.00     0.00  Writer::get_next_response()
  0.02     51.30     0.01   218430     0.00     0.00  void std::deque<InstX*, std::allocator<InstX*> >::emplace_back<InstX*>(InstX*&&)
  0.02     51.31     0.01   192885     0.00     0.00  HashRequest::HashRequest(GlobalCounters*, int, int, long long, long long, long long, long long, long long)
  0.02     51.32     0.01   192885     0.00     0.00  NeuraDispatcher::send_hash_req(HashRequest*, int)
  0.02     51.33     0.01   108988     0.00     0.00  Cache::remove_from_request_table(long long)
  0.02     51.34     0.01    25545     0.00     0.00  HashPad::evict_hash_line(long long)
  0.02     51.35     0.01    25545     0.00     0.00  NeuraMem::eviction_routine(HashRequest*)
